Country Name	Country Code	Series Name	Series Code	1990 [YR1990]	2000 [YR2000]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]	2019 [YR2019]	2020 [YR2020]	2021 [YR2021]	2022 [YR2022]	2023 [YR2023]	2024 [YR2024]	2025 [YR2025]
Mexico	MEX	Population, total	SP.POP.TOTL	82820170	98625552	122251351	123400057	124573711	125762982	126799054	127648148	128613117	129739759	130861007	..
Mexico	MEX	Population growth (annual %)	SP.POP.GROW	1.91754932281513	1.54272528221216	0.969124204799117	0.935239396499786	0.9466023549862	0.950144329831411	0.820454117563552	0.66740537533078	0.753116988604166	0.872178517508623	0.860515443690537	..
Mexico	MEX	Surface area (sq. km)	AG.SRF.TOTL.K2	1964380	1964380	1964375	1964375	1964380	1964380	1960647.2	1960647.2	1959142.3	1957193.9	..	..
Mexico	MEX	Population density (people per sq. km of land area)	EN.POP.DNST	42.6040638905322	50.734613544587	62.8881149206513	63.4790282671879	64.0827752771419	64.6945559299365	65.227528485815	65.664316469045	66.1607124668844	66.7402757272564	..	..
Mexico	MEX	Poverty headcount ratio at national poverty lines (% of population)	SI.POV.NAHC	..	..	43.2	..	41.9	..	43.9	..	36.3	..	29.6	..
Mexico	MEX	Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)	SI.POV.DDAY	..	16.3	4.4	..	3.9	..	4.3	..	2.3	..	..	..
Mexico	MEX	GNI, Atlas method (current US$)	NY.GNP.ATLS.CD	233734070296.402	648091263227.348	1190381172086.54	1143310436797.59	1191161317228.85	1240366188553.61	1130586047283	1261065448467.65	1380053978894.63	1559423549096.79	1681001982991.45	..
Mexico	MEX	GNI per capita, Atlas method (current US$)	NY.GNP.PCAP.CD	2820	6570	9740	9270	9560	9860	8920	9880	10730	12020	12850	..
Mexico	MEX	GNI, PPP (current international $)	NY.GNP.MKTP.PP.CD	692443148027.109	1130874637867.97	2393565436264.06	2464263194964.25	2538887671170.26	2562369414545.99	2375240560792.58	2584308612178.86	2906679541922.72	3193764865425.72	3332347221647.99	..
Mexico	MEX	GNI per capita, PPP (current international $)	NY.GNP.PCAP.PP.CD	8360	11470	19580	19970	20380	20370	18730	20250	22600	24620	25460	..
Mexico	MEX	Income share held by lowest 20%	SI.DST.FRST.20	..	3.4	5	..	5.2	..	5.3	..	5.6	..	..	..
Mexico	MEX	Life expectancy at birth, total (years)	SP.DYN.LE00.IN	69.034	72.562	74.376	74.261	74.301	74.53	70.449	69.75	73.973	75.069	..	..
Mexico	MEX	Fertility rate, total (births per woman)	SP.DYN.TFRT.IN	3.444	2.714	2.086	2.041	2.03	2.02	1.99	1.97	1.94	1.91	..	..
Mexico	MEX	Adolescent fertility rate (births per 1,000 women ages 15-19)	SP.ADO.TFRT	84.074	72.263	66.136	64.486	63.447	63.359	62.577	62.033	61.111	60.099	..	..
Mexico	MEX	Contraceptive prevalence, any method (% of married women ages 15-49)	SP.DYN.CONU.ZS	..	..	..	..	73.10006	..	..	..	..	71.8482508570646	..	..
Mexico	MEX	Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	83.8	88.6	98	96.6	..	..	..	..	..	..	..	..
Mexico	MEX	Mortality rate, under-5 (per 1,000 live births)	SH.DYN.MORT	45.3	28.1	15.7	15.2	14.7	14.2	13.8	13.3	12.9	12.5	..	..
Mexico	MEX	Prevalence of underweight, weight for age (% of children under 5)	SH.STA.MALN.ZS	..	..	4.2	..	..	4.7	4.6	4.2	4.2	..	..	..
Mexico	MEX	Immunization, measles (% of children ages 12-23 months)	SH.IMM.MEAS	75	96	97	76	97	73	92	99	86	76	80	..
Mexico	MEX	Primary completion rate, total (% of relevant age group)	SE.PRM.CMPT.ZS	..	96.747428894043	104.702178955078	104.324859619141	102.369117736816	102.47265625	102.597717285156	102.820198059082	102.239273071289	103.764976501465	..	..
Mexico	MEX	School enrollment, primary (% gross)	SE.PRM.ENRR	..	109.118301391602	106.391220092773	105.797607421875	105.188163757324	105.095039367676	104.517730712891	103.358810424805	102.004783630371	101.420753479004	..	..
Mexico	MEX	School enrollment, secondary (% gross)	SE.SEC.ENRR	..	71.1195831298828	102.871368408203	105.11018371582	105.964653015137	105.515609741211	102.58154296875	98.3202514648438	98.3576583862305	102.055458068848	..	..
Mexico	MEX	School enrollment, primary and secondary (gross), gender parity index (GPI)	SE.ENR.PRSC.FM.ZS	0.962310016155243	0.989459991455078	1.03638005256653	1.0391800403595	1.04627001285553	1.05191004276276	1.05410003662109	..	..	..	..	..
Mexico	MEX	Prevalence of HIV, total (% of population ages 15-49)	SH.DYN.AIDS.ZS	0.1	0.2	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.5	..
Mexico	MEX	Forest area (sq. km)	AG.LND.FRST.K2	705916.5	683813.5	662031.5	660753.8	659480	658200	656920	655640	654370	653087.841	..	..
Mexico	MEX	Terrestrial and marine protected areas (% of total territorial area)	ER.PTD.TOTL.ZS	..	..	19.1	19.1	18.9	18.9	18.9	18.9	19	19	19.9	..
Mexico	MEX	Annual freshwater withdrawals, total (% of internal resources)	ER.H2O.FWTL.ZS	15.1761439046455	16.6676912322738	21.1679706601467	21.4767726161369	21.721271393643	21.8462102689487	21.8943765281174	21.9911980440098	21.9569682151589	..	..	..
Mexico	MEX	Urban population growth (annual %)	SP.URB.GROW	2.50855104633023	1.98394889709936	1.29263408673132	1.29639194599228	1.34009770164304	1.37072941424281	1.23052761321089	0.990278035419992	1.09116644258604	1.21730400929993	1.2127000253117	..
Mexico	MEX	Energy use (kg of oil equivalent per capita)	EG.USE.PCAP.KG.OE	1502.65916196056	1541.32297457171	1525.3837445098	1478.43896510686	1493.47882156246	1469.65350320528	1366.42722558757	1417.70559078908	1525.73516114419	1559.78994657193	..	..
Mexico	MEX	Electric power consumption (kWh per capita)	EG.USE.ELEC.KH.PC	1201.10837734335	1805.47531941824	2292.03193018292	2269.10754182229	2499.62048573796	2392.19041418722	2354.26835282225	2294.2518523653	2371.96646124361	2608.52187955737	..	..
Mexico	MEX	GDP (current US$)	NY.GDP.MKTP.CD	261253675692.838	742061329749.127	1112233497452.7	1190721475906	1256300182879.73	1304106203902.45	1121064767308.42	1316569466685.95	1466934724293.06	1798317581486.88	1856365616165.94	..
Mexico	MEX	GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	5.25004329944582	5.02928399378261	1.77249323845399	1.87172853327193	1.97208209405635	-0.392690505066824	-8.35403458167995	6.0484834621255	3.70975709163623	3.35354140652768	1.42742769080466	..
Mexico	MEX	Inflation, GDP deflator (annual %)	NY.GDP.DEFL.KD.ZG	28.105912393932	10.6979645467813	6.07758782303863	6.56759492961866	5.20449997881845	4.31901022798927	4.61979013292664	4.48797272739507	6.66664947468669	4.65385406168295	4.9050733641935	..
Mexico	MEX	Agriculture, forestry, and fishing, value added (% of GDP)	NV.AGR.TOTL.ZS	6.66709637889891	3.15926513097762	3.2462890783797	3.29751177575275	3.296959452726	3.31502440184845	3.71114888236172	3.78266528758294	3.89806570970786	3.83754974792513	3.72451065844835	..
Mexico	MEX	Industry (including construction), value added (% of GDP)	NV.IND.TOTL.ZS	26.146929748992	34.3868003217864	30.6167913981452	31.9586846731805	32.0438654533728	31.8382961395485	30.9999803907609	31.9695289853652	33.1638305245733	32.6059323521063	31.7777432689428	..
Mexico	MEX	Exports of goods and services (% of GDP)	NE.EXP.GNFS.ZS	18.7044710491717	24.2311734681303	36.8156772514808	37.5140886198874	39.0439304419331	38.5296507920009	39.2353720904115	40.5691932010194	42.9322902133702	36.0693951643755	36.7033688165177	..
Mexico	MEX	Imports of goods and services (% of GDP)	NE.IMP.GNFS.ZS	19.8152253641579	25.6792357191195	38.8746261573743	39.438037420838	41.1687312149645	38.9323214651119	37.6191836151901	42.5001044347701	45.8661953733484	37.509466472149	37.8855391659966	..
Mexico	MEX	Gross capital formation (% of GDP)	NE.GDI.TOTL.ZS	23.270603544648	22.2649246086997	24.3433923355958	23.8923507095274	23.47749306333	22.1485426373991	20.2366593506907	21.7074939343756	22.7701948909454	23.8945184286558	24.1235135559623	..
Mexico	MEX	Revenue, excluding grants (% of GDP)	GC.REV.XGRT.GD.ZS	15.4157210608024	11.5528823713743	19.1915888767099	19.4469058448378	18.3342427397029	18.519167062902	18.6445328292561	18.3430886499068	19.2711611460256	19.0449981031982	..	..
Mexico	MEX	Domestic credit provided by financial sector (% of GDP)	FS.AST.DOMS.GD.ZS	..	26.717632890503	53.0504914826419	53.3342277001531	52.9432450497176	56.7237027966163	61.6028018700486	60.5159430473034	58.831471360773	58.4742894776893	63.00928003482	..
Mexico	MEX	Tax revenue (% of GDP)	GC.TAX.TOTL.GD.ZS	11.8483646611837	9.13229541250167	13.1237856088608	12.6874317266309	12.7121572965033	12.7877486080424	13.8975134533104	13.4112621210704	13.4041093602603	14.1935866614195	..	..
Mexico	MEX	Military expenditure (% of GDP)	MS.MIL.XPND.GD.ZS	0.433081035474032	0.4085181378342	0.480046272445401	0.424849155540147	0.464611544931539	0.509337628297564	0.717690608258695	0.659404192954647	0.685819352028866	0.660371879752505	0.893257529320534	..
Mexico	MEX	Mobile cellular subscriptions (per 100 people)	IT.CEL.SETS.P2	0.078225239	14.2741	91.3942	92.6494	96.4612	97.0359	96.9237	99.0948	105.713	111.562	..	..
Mexico	MEX	High-technology exports (% of manufactured exports)	TX.VAL.TECH.MF.ZS	..	..	20.6541116351274	21.1680967750153	20.8917456407643	20.4068584131191	21.5074249745377	19.8113406398377	20.5343692257849	17.7318284670198	19.3033812138817	..
